variant_id,policy,kwargs,complexity,note,command,frozen_variant_id
baseline_p1,nearest_eta,{},1,baseline,--policy nearest_eta,baseline_p1
baseline_p2,p2_als_bls,{},2,baseline,--policy p2_als_bls,baseline_p2
baseline_p3,p3_coverage,{},3,baseline,--policy p3_coverage,baseline_p3
baseline_p4,p4_fairness,{},3,baseline,--policy p4_fairness,baseline_p4
baseline_p5,p5_hybrid,{},4,baseline,--policy p5_hybrid,baseline_p5
ff_severity,feature_flag,{'use_severity': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_severity': True}""",ff_severity
ff_als,feature_flag,{'use_als_guard': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True}""",ff_als
ff_coverage,feature_flag,{'use_coverage_unit': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_coverage_unit': True}""",ff_coverage
ff_coverage,feature_flag,{'use_coverage_call': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_coverage_call': True}""",ff_coverage_2
ff_guardrail,feature_flag,{'use_guardrail': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_guardrail': True}""",ff_guardrail
ff_urban,feature_flag,{'use_urban_boost': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_urban_boost': True}""",ff_urban
ff_fairness,feature_flag,{'use_fairness': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_fairness': True}""",ff_fairness
ff_fairness,feature_flag,{'use_fairness_weight': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_fairness_weight': True}""",ff_fairness_2
ff_zone,feature_flag,{'use_zone_weights': True},2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_zone_weights': True}""",ff_zone
ff_severity_als,feature_flag,"{'use_severity': True, 'use_als_guard': True}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_severity': True, 'use_als_guard': True}""",ff_severity_als
ff_severity_coverage,feature_flag,"{'use_severity': True, 'use_coverage_unit': True}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_severity': True, 'use_coverage_unit': True}""",ff_severity_coverage
ff_severity_coverage,feature_flag,"{'use_severity': True, 'use_coverage_call': True}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_severity': True, 'use_coverage_call': True}""",ff_severity_coverage_2
ff_severity_guardrail,feature_flag,"{'use_severity': True, 'use_guardrail': True}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_severity': True, 'use_guardrail': True}""",ff_severity_guardrail
