variant_id,family,slug,policy,kwargs,variant_key,complexity,note,command
baseline_p1,baseline,p1,nearest_eta,{},nearest_eta::{},1,baseline,--policy nearest_eta
baseline_p2,baseline,p2,p2_als_bls,{},p2_als_bls::{},2,baseline,--policy p2_als_bls
baseline_p3,baseline,p3,p3_coverage,{},p3_coverage::{},3,baseline,--policy p3_coverage
baseline_p4,baseline,p4,p4_fairness,{},p4_fairness::{},3,baseline,--policy p4_fairness
baseline_p5,baseline,p5,p5_hybrid,{},p5_hybrid::{},4,baseline,--policy p5_hybrid
p5_td_fairw,top_down,fairw,p5_hybrid,"{""use_fairness_weight_boost"":true}","p5_hybrid::{""use_fairness_weight_boost"":true}",2,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness_weight_boost"":true}"""
p5_td_last,top_down,last,p5_hybrid,"{""use_last_unit_guardrail"":true}","p5_hybrid::{""use_last_unit_guardrail"":true}",2,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_last_unit_guardrail"":true}"""
p5_td_fairw_last,top_down,fairw_last,p5_hybrid,"{""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}"""
p5_td_zone,top_down,zone,p5_hybrid,"{""use_zone_weights"":true}","p5_hybrid::{""use_zone_weights"":true}",2,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_zone_weights"":true}"""
p5_td_fairw_zone,top_down,fairw_zone,p5_hybrid,"{""use_fairness_weight_boost"":true,""use_zone_weights"":true}","p5_hybrid::{""use_fairness_weight_boost"":true,""use_zone_weights"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness_weight_boost"":true,""use_zone_weights"":true}"""
p5_td_last_zone,top_down,last_zone,p5_hybrid,"{""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_last_unit_guardrail"":true,""use_zone_weights"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_fairw_last_zone,top_down,fairw_last_zone,p5_hybrid,"{""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_fair,top_down,fair,p5_hybrid,"{""use_fairness"":true}","p5_hybrid::{""use_fairness"":true}",2,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true}"""
p5_td_fair_fairw,top_down,fair_fairw,p5_hybrid,"{""use_fairness"":true,""use_fairness_weight_boost"":true}","p5_hybrid::{""use_fairness"":true,""use_fairness_weight_boost"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_fairness_weight_boost"":true}"""
p5_td_fair_last,top_down,fair_last,p5_hybrid,"{""use_fairness"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_fairness"":true,""use_last_unit_guardrail"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_last_unit_guardrail"":true}"""
p5_td_fair_fairw_last,top_down,fair_fairw_last,p5_hybrid,"{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}"""
p5_td_fair_zone,top_down,fair_zone,p5_hybrid,"{""use_fairness"":true,""use_zone_weights"":true}","p5_hybrid::{""use_fairness"":true,""use_zone_weights"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_zone_weights"":true}"""
p5_td_fair_fairw_zone,top_down,fair_fairw_zone,p5_hybrid,"{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}","p5_hybrid::{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}"""
p5_td_fair_last_zone,top_down,fair_last_zone,p5_hybrid,"{""use_fairness"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_fairness"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_fair_fairw_last_zone,top_down,fair_fairw_last_zone,p5_hybrid,"{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",5,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_cov,top_down,cov,p5_hybrid,"{""use_coverage"":true}","p5_hybrid::{""use_coverage"":true}",2,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true}"""
p5_td_cov_fairw,top_down,cov_fairw,p5_hybrid,"{""use_coverage"":true,""use_fairness_weight_boost"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness_weight_boost"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness_weight_boost"":true}"""
p5_td_cov_last,top_down,cov_last,p5_hybrid,"{""use_coverage"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_coverage"":true,""use_last_unit_guardrail"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_last_unit_guardrail"":true}"""
p5_td_cov_fairw_last,top_down,cov_fairw_last,p5_hybrid,"{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}"""
p5_td_cov_zone,top_down,cov_zone,p5_hybrid,"{""use_coverage"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_zone_weights"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_zone_weights"":true}"""
p5_td_cov_fairw_zone,top_down,cov_fairw_zone,p5_hybrid,"{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}"""
p5_td_cov_last_zone,top_down,cov_last_zone,p5_hybrid,"{""use_coverage"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_cov_fairw_last_zone,top_down,cov_fairw_last_zone,p5_hybrid,"{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",5,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_cov_fair,top_down,cov_fair,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true}",3,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true}"""
p5_td_cov_fair_fairw,top_down,cov_fair_fairw,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true}"""
p5_td_cov_fair_last,top_down,cov_fair_last,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_last_unit_guardrail"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_last_unit_guardrail"":true}"""
p5_td_cov_fair_fairw_last,top_down,cov_fair_fairw_last,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}",5,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true}"""
p5_td_cov_fair_zone,top_down,cov_fair_zone,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_zone_weights"":true}",4,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_zone_weights"":true}"""
p5_td_cov_fair_fairw_zone,top_down,cov_fair_fairw_zone,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}",5,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_zone_weights"":true}"""
p5_td_cov_fair_last_zone,top_down,cov_fair_last_zone,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",5,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
p5_td_cov_fair_fairw_last_zone,top_down,cov_fair_fairw_last_zone,p5_hybrid,"{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}","p5_hybrid::{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}",6,top_down,"--policy p5_hybrid --policy-kwargs ""{""use_coverage"":true,""use_fairness"":true,""use_fairness_weight_boost"":true,""use_last_unit_guardrail"":true,""use_zone_weights"":true}"""
ff_sev,bottom_up,sev,feature_flag,"{""use_severity"":true}","feature_flag::{""use_severity"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_severity"":true}"""
ff_alsguard,bottom_up,alsguard,feature_flag,"{""use_als_guard"":true}","feature_flag::{""use_als_guard"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_als_guard"":true}"""
ff_covu,bottom_up,covu,feature_flag,"{""use_coverage_unit"":true}","feature_flag::{""use_coverage_unit"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_coverage_unit"":true}"""
ff_covc,bottom_up,covc,feature_flag,"{""use_coverage_call"":true}","feature_flag::{""use_coverage_call"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_coverage_call"":true}"""
ff_guard,bottom_up,guard,feature_flag,"{""use_guardrail"":true}","feature_flag::{""use_guardrail"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_guardrail"":true}"""
ff_urban,bottom_up,urban,feature_flag,"{""use_urban_boost"":true}","feature_flag::{""use_urban_boost"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_urban_boost"":true}"""
ff_fair,bottom_up,fair,feature_flag,"{""use_fairness"":true}","feature_flag::{""use_fairness"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_fairness"":true}"""
ff_fairw,bottom_up,fairw,feature_flag,"{""use_fairness_weight"":true}","feature_flag::{""use_fairness_weight"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_fairness_weight"":true}"""
ff_zone,bottom_up,zone,feature_flag,"{""use_zone_weights"":true}","feature_flag::{""use_zone_weights"":true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_zone_weights"":true}"""
ff_alsguard_sev,bottom_up,alsguard_sev,feature_flag,"{""use_als_guard"":true,""use_severity"":true}","feature_flag::{""use_als_guard"":true,""use_severity"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_als_guard"":true,""use_severity"":true}"""
ff_covu_sev,bottom_up,covu_sev,feature_flag,"{""use_coverage_unit"":true,""use_severity"":true}","feature_flag::{""use_coverage_unit"":true,""use_severity"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_coverage_unit"":true,""use_severity"":true}"""
ff_covc_sev,bottom_up,covc_sev,feature_flag,"{""use_coverage_call"":true,""use_severity"":true}","feature_flag::{""use_coverage_call"":true,""use_severity"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_coverage_call"":true,""use_severity"":true}"""
ff_guard_sev,bottom_up,guard_sev,feature_flag,"{""use_guardrail"":true,""use_severity"":true}","feature_flag::{""use_guardrail"":true,""use_severity"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_guardrail"":true,""use_severity"":true}"""
ff_sev_urban,bottom_up,sev_urban,feature_flag,"{""use_severity"":true,""use_urban_boost"":true}","feature_flag::{""use_severity"":true,""use_urban_boost"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_severity"":true,""use_urban_boost"":true}"""
ff_fair_sev,bottom_up,fair_sev,feature_flag,"{""use_fairness"":true,""use_severity"":true}","feature_flag::{""use_fairness"":true,""use_severity"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_fairness"":true,""use_severity"":true}"""
ff_fairw_sev,bottom_up,fairw_sev,feature_flag,"{""use_fairness_weight"":true,""use_severity"":true}","feature_flag::{""use_fairness_weight"":true,""use_severity"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_fairness_weight"":true,""use_severity"":true}"""
ff_sev_zone,bottom_up,sev_zone,feature_flag,"{""use_severity"":true,""use_zone_weights"":true}","feature_flag::{""use_severity"":true,""use_zone_weights"":true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{""use_severity"":true,""use_zone_weights"":true}"""
