frozen_variant_id,canonical_key,policy,kwargs,kwargs_json,complexity,note,command,hash8
baseline_p1,nearest_eta::{},nearest_eta,{},{},1,baseline,--policy nearest_eta,983015be
baseline_p2,p2_als_bls::{},p2_als_bls,{},{},2,baseline,--policy p2_als_bls,c6c4c0b3
baseline_p3,p3_coverage::{},p3_coverage,{},{},3,baseline,--policy p3_coverage,664947e0
baseline_p4,p4_fairness::{},p4_fairness,{},{},3,baseline,--policy p4_fairness,15ab0f3f
baseline_p5,p5_hybrid::{},p5_hybrid,{},{},4,baseline,--policy p5_hybrid,c4261e6e
ff_als,"feature_flag::{""use_als_guard"":true}",feature_flag,{'use_als_guard': True},"{""use_als_guard"": true}",2,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True}""",662b039f
ff_als_coverage,"feature_flag::{""use_als_guard"":true,""use_coverage_unit"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True}","{""use_als_guard"": true, ""use_coverage_unit"": true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True}""",8bb0912d
ff_als_coverage_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_call': True}","{""use_als_guard"": true, ""use_coverage_call"": true}",3,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_call': True}""",1b57b578
ff_als_coverage_coverage,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true}",4,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True}""",9e9a3611
ff_als_coverage_coverage_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True}""",80077637
ff_als_coverage_coverage_fairness_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True}""",6f56a761
ff_als_coverage_coverage_fairness_fairness,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True}""",00bb6b97
ff_als_coverage_coverage_fairness_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_fairness_weight"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_fairness_weight"": true, ""use_zone_weights"": true}",7,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",fa158287
ff_als_coverage_coverage_fairness_zone,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness"": true, ""use_zone_weights"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness': True, 'use_zone_weights': True}""",0a52f8c5
ff_als_coverage_coverage_fairness_zone_2,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_fairness_weight"":true,""use_zone_weights"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True, 'use_zone_weights': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_fairness_weight"": true, ""use_zone_weights"": true}",6,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_fairness_weight': True, 'use_zone_weights': True}""",e2d310b7
ff_als_coverage_coverage_guardrail,"feature_flag::{""use_als_guard"":true,""use_coverage_call"":true,""use_coverage_unit"":true,""use_guardrail"":true}",feature_flag,"{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True}","{""use_als_guard"": true, ""use_coverage_call"": true, ""use_coverage_unit"": true, ""use_guardrail"": true}",5,bottom_up,"--policy feature_flag --policy-kwargs ""{'use_als_guard': True, 'use_coverage_unit': True, 'use_coverage_call': True, 'use_guardrail': True}""",78efcd0b
